filename,title,authors,year,publication,doi,abstract,tema,subtema
HRS AJS 1993.pdf,"Social Democracy, Christian Democracy, Constitutional Structure, and the Welfare State","Evelyne Huber; Charles Ragin; John D. Stephens",1993,American Journal of Sociology,10.1086/230321,"First solid support for the state-centered perspective in quantitative welfare state analysis. Shows contrasting effects of Christian democratic and social democratic governance on welfare effort, and strong effect of constitutional structure.",Welfare State,Partisan Effects
ASR_proof_1.pdf,"Politics and Inequality in Latin America and the Caribbean","Evelyne Huber; François Nielsen; Jenny Pribble; John D. Stephens",2006,American Sociological Review,10.1177/000312240607100604,"First pooled time-series analysis of political and policy determinants of inequality in 18 Latin American and Caribbean countries 1970-2000.",Inequality,Latin America
Ch3_Huber.Stephens-1.pdf,"Social Investment in Latin America","Evelyne Huber; John D. Stephens",2022,The World Politics of Social Investment Volume I,,Social investment and neoliberal legacies in Latin America. Examines whether LA states can break with neoliberal legacies through social investment strategies.,Welfare State,Social Investment
Chapter 14.pdf,"The Political Foundations of State Effectiveness","Peter Evans; Evelyne Huber; John D. Stephens",2017,States in the Developing World,10.1017/CBO9781316665657.015,"State effectiveness requires both bureaucratic capacity AND deliberative state-society relations (Sen-Ostrom model). Effective states ≠ simply strong states.",State Capacity,State Effectiveness
Paradoxes CP 97.pdf,"The Paradoxes of Contemporary Democracy: Formal, Participatory, and Social Dimensions","Evelyne Huber; Dietrich Rueschemeyer; John D. Stephens",1997,Comparative Politics,10.2307/422123,"Examines tensions between formal democratic institutions and substantive equality. State's role in enabling or constraining participatory and social dimensions of democracy.",Democracy,Democratic Quality
World Politics 03.pdf,"Distribution and Redistribution in Postindustrial Democracies","David Bradley; Evelyne Huber; Stephanie Moller; François Nielsen; John D. Stephens",2003,World Politics,,"Analyzes the determinants of distribution and redistribution in postindustrial democracies using Luxembourg Income Study data.",Redistribution,Advanced Democracies
SER2014.pdf,"Income Inequality and Redistribution in Post-Industrial Democracies: Demographic, Economic and Political Determinants","Evelyne Huber; John D. Stephens",2014,Socio-Economic Review,10.1093/ser/mwu001,"Examines state's redistributive role through welfare transfers and taxation. Welfare state generosity is primary mechanism translating politics into lower inequality.",Inequality,Redistribution
LA Poverty CP.pdf,"Politics, Policies, and Poverty in Latin America","Jennifer Pribble; Evelyne Huber; John D. Stephens",2009,Comparative Politics,,"Analysis of the politics of poverty reduction in Latin America, examining how democracy and left government affect poverty outcomes.",Inequality,Latin America
Models of Capitalism.pdf,"Models of Capitalism: Lessons for Latin America","Evelyne Huber (editor)",2002,Penn State University Press,,"Edited volume examining different models of capitalism and their applicability to Latin America. Includes Huber introduction and conclusion, plus Stephens chapter on welfare state regimes.",Capitalism,Latin America
Postindustrial Social Policy.pdf,"Postindustrial Social Policy","Evelyne Huber; John D. Stephens",2015,The Politics of Advanced Capitalism,10.1017/CBO9781316163245.010,"Analyzes welfare state adaptation in postindustrial contexts. Shifts in social policy driven by deindustrialization, labor market dualization, and changing partisan coalitions.",Welfare State,Postindustrial
Nelson and Stephens.pdf,"Do Social Investment Policies Produce More and Better Jobs?","Moira Nelson; John D. Stephens",2009,Towards a Social Investment Welfare State?,,"Examines whether social investment policies (education, training, childcare) produce better employment outcomes in 17 OECD countries 1972-1999.",Welfare State,Social Investment
Changing Shapes online.pdf,"The Changing Shapes of Latin American Welfare States","Evelyne Huber; Zoila Ponce de León",2019,Oxford Research Encyclopedia of Politics,10.1093/acrefore/9780190228637.013.1656,"Comprehensive overview of Latin American welfare state transformations over the past half century, from ISI era through neoliberal reforms to left turn expansion.",Welfare State,Latin America
